"id","province","population","cases","cured","complete_curement","deaths","failed","loss_to_follow_up","not_evaluated","success_rate","mortality_rate","incident_rate","tbc_findings","hotspot_quadran","hotspot_average_quadran","latitude","longitude"
"1","ACEH","5536285","10933","1320","8154","359","12","719","10564","0.87","6","242","0.61","3","3","5.55","95.31"
"2","SUMATERA UTARA","14909262","34981","6787","24537","1141","38","2409","34912","0.9","8","79","0.59","3","3","3.58","98.67"
"3","SUMATERA BARAT","5575689","13173","3546","8033","560","24","893","13056","0.88","10","157","0.61","3","2","-0.95","100.35"
"4","RIAU","7228044","12694","2641","8875","395","22","674","12607","0.91","5","230","0.53","3","3","0.53","101.44"
"5","KEPULAUAN RIAU","2273571","5319","1266","3192","240","16","537","5251","0.84","11","350","0.47","2","1","0.93","104.45"
"6","JAMBI","3729355","5250","1567","3103","261","8","282","5221","0.89","7","341","0.53","3","4","-1.6","103.61"
"7","SUMATERA SELATAN","8687805","19769","3688","14456","595","32","722","19493","0.92","7","155","0.64","3","3","-2.98","104.75"
"8","KEPULAUAN BANGKA BELITUNG","1538824","2611","648","1593","163","9","157","2570","0.86","11","528","0.46","1","1","-2.13","106.11"
"9","BENGKULU","2048110","2968","535","2007","156","1","100","2799","0.86","8","551","0.45","4","4","-3.8","102.26"
"10","LAMPUNG","8640429","17435","5820","11060","347","11","141","17379","0.97","4","280","0.54","3","3","-5.45","105.26"
"11","BANTEN","13344636","36430","5685","26954","897","61","2487","36084","0.9","7","100","1.12","3","3","-6.12","106.16"
"12","DKI JAKARTA","10793930","45776","7433","29485","1525","312","6392","45147","0.81","14","53","1.11","2","2","-6.17","106.83"
"13","JAWA BARAT","50634556","163997","24294","114471","3970","473","14540","157748","0.85","8","21","1.21","3","3","-6.92","107.61"
"14","JAWA TENGAH","35428956","71231","17167","44839","2798","283","5377","70464","0.87","8","31","1.15","3","3","-6.99","110.42"
"15","DI YOGYAKARTA","3936609","5554","842","3897","268","41","351","5399","0.85","7","317","0.7","3","4","-7.79","110.36"
"16","JAWA TIMUR","40444373","67456","22910","37187","3238","250","3683","67268","0.89","8","27","0.93","3","3","-7.25","112.74"
"17","KALIMANTAN BARAT","5206605","11134","2774","6759","411","14","719","10677","0.86","8","209","0.69","3","3","-0.03","109.33"
"18","KALIMANTAN TENGAH","2807902","4217","991","2428","189","6","468","4082","0.81","7","429","0.54","4","4","-2.21","113.91"
"19","KALIMANTAN SELATAN","4364200","7647","1736","4662","413","36","645","7492","0.84","9","203","0.64","3","3","-3.47","114.75"
"20","KALIMANTAN TIMUR","3846225","8015","1461","5470","371","37","622","7961","0.86","10","232","0.75","3","2","-0.5","117.15"
"21","KALIMANTAN UTARA","779258","1617","415","844","83","6","246","1594","0.78","11","940","0.65","1","1","2.85","117.37"
"22","SULAWESI UTARA","2564177","7466","1677","4734","326","5","415","7157","0.86","13","264","0.93","2","2","1.47","124.84"
"23","GORONTALO","1236640","3540","1006","2258","165","1","98","3528","0.92","13","558","0.91","1","1","0.53","123.06"
"24","SULAWESI TENGAH","3140309","6243","1053","4307","356","8","476","6200","0.86","11","242","0.66","2","2","-0.87","119.87"
"25","SULAWESI SELATAN","9052924","20630","6757","11004","1067","45","1728","20601","0.86","12","81","0.55","2","2","-5.14","119.43"
"26","SULAWESI BARAT","1424671","2771","870","1603","154","1","114","2742","0.89","11","578","0.72","1","1","-2.68","118.88"
"27","SULAWESI TENGGARA","2794145","5300","1322","3197","292","10","264","5085","0.85","10","291","0.67","2","1","-3.98","122.58"
"28","BALI","4442120","4118","1555","1949","345","43","192","4084","0.85","8","246","0.51","3","3","-8.66","115.22"
"29","NUSA TENGGARA BARAT","5197339","8858","3507","4538","460","11","288","8804","0.91","9","198","0.54","3","3","-8.58","116.12"
"30","NUSA TENGGARA TIMUR","5618929","7952","1799","5331","468","8","315","7921","0.9","8","192","0.46","3","3","-10.17","123.6"
"31","MALUKU","1857511","3902","687","2794","146","4","226","3857","0.89","8","610","0.74","4","4","-3.65","128.17"
"32","MALUKU UTARA","1296656","2714","435","1867","188","9","188","2687","0.85","14","452","0.75","1","1","0.73","127.55"
"33","PAPUA","886229","4863","821","2950","209","20","739","4739","0.78","24","373","1.07","2","1","-2.53","140.72"
"34","PAPUA BARAT","483152","1770","269","995","101","4","351","1720","0.71","21","703","1.12","1","1","-0.87","134.05"
"35","PAPUA TENGAH","1044785","4210","627","2590","142","31","606","3996","0.76","14","535","1.16","1","1","-3.38","135.63"
"36","PAPUA PEGUNUNGAN","1036766","1426","63","764","28","0","236","1091","0.58","3","2071","0.79","4","4","-4.1","138.95"
"37","PAPUA SELATAN","515718","3441","728","2087","116","3","335","3269","0.82","22","707","1.19","1","1","-8.47","140.33"
"38","PAPUA BARAT DAYA","512408","1235","242","711","56","6","205","1220","0.77","11","1375","0.66","1","1","-0.87","131.25"
"39","INDONESIA","274859100","638646","136944","415685","22999","1901","48940","626469","0.87","8","4","0.77","3","3","-0.5","117.15"
